vertex_ind,xcoord,ycoord
"92",-187013.135037320025731,-2485645.776229287497699
"93",-186905.455323847185355,-2485728.880277866497636
"94",-186791.727707469079178,-2485802.249753280542791
"95",-186671.921832250547595,-2485864.648640041705221
"96",-186546.458551079267636,-2485914.949783071875572
"97",-186416.039225891203387,-2485952.068345886189491
"98",-186281.855268029903527,-2485975.175366887822747
"99",-186145.303754368156660,-2485983.580798218026757
"100",-186008.142548611853272,-2485976.855623701121658
"101",-185872.118687944661360,-2485954.684772596228868
"102",-185739.238272116403095,-2485916.985973701812327
"103",-185611.202204241242725,-2485863.922864743042737
"104",-185489.517703491670545,-2485795.931924086995423
"105",-185375.136104381788755,-2485713.828884091228247
"106",-185268.352381759032141,-2485618.836206007283181
"107",-185168.601586576347472,-2485512.569819321390241
"108",-185074.567323733790545,-2485396.986769894603640
"109",-184984.267242613364942,-2485274.194553656503558
"110",-184895.426742409734288,-2485146.316242920234799
"111",-184805.676093515474349,-2485015.441040921024978
"112",-184712.943635804869700,-2484883.401112431660295
"113",-184615.491840433678590,-2484751.821888370905071
"114",-184512.089883136039134,-2484621.881071492098272
"115",-184401.891464751213789,-2484495.245921620633453
"116",-184284.457137628225610,-2484372.739644378423691
"117",-184159.605628394143423,-2484255.353311984799802
"118",-184027.655105736252153,-2484143.862799785099924
"119",-183888.873284181288909,-2484038.868688555434346
"120",-183743.833401161304209,-2483940.841674503404647
"121",-183593.032670461834641,-2483849.973889840766788
"122",-183437.312043956480920,-2483766.332193956244737
"123",-183277.260771397326607,-2483689.603624257259071
"124",-183113.593447266495787,-2483619.286164597142488
"125",-182946.874940922105452,-2483554.615371747408062
"126",-182777.847947841830319,-2483494.579864788800478
"127",-182606.986517670273315,-2483437.993942480534315
"128",-182434.828932035859907,-2483383.577877182979137
"129",-182261.805110076384153,-2483330.040852175094187
"130",-182088.402119099657284,-2483276.083355473354459
"131",-181914.996941943856655,-2483220.563970144838095
"132",-181742.110849928285461,-2483162.411024105269462
"133",-181570.193371789122466,-2483100.622106269001961
"134",-181399.785910925042117,-2483034.451537064742297
"135",-181231.436441101366654,-2482963.202810090500861
"136",-181065.865493375866208,-2482886.280671400483698
"137",-180903.696476068376796,-2482803.196133942343295
"138",-180745.911132975015789,-2482713.524751773569733
"139",-180593.222916479397099,-2482616.955954638309777
"140",-180446.774770047224592,-2482513.335141871590167
"141",-180307.410882244032109,-2482402.654877529479563
"142",-180176.110158870869782,-2482285.054871527012438
"143",-180053.748633413430071,-2482160.930002286564559
"144",-179941.171272567764390,-2482030.733951359055936
"145",-179839.040155967057217,-2481895.149786747992039
"146",-179747.897232965391595,-2481754.861742182634771
"147",-179667.971437499683816,-2481610.649854465387762
"148",-179599.204580726393033,-2481463.262254856061190
"149",-179541.080396539240610,-2481313.425528042484075
"150",-179492.413337811420206,-2481161.826876170467585
"151",-179451.330837358022109,-2481009.292256864719093
"152",-179414.955104001390282,-2480856.557623777538538
"153",-179379.946018960268702,-2480704.595370946917683
"154",-179342.323933692008723,-2480554.335654060356319
"155",-179298.640199959452730,-2480406.807657836936414
"156",-179245.899311972199939,-2480262.919093100354075
"157",-179182.377994137466885,-2480123.508096368983388
"158",-179107.160757231293246,-2479989.303553644567728
"159",-179019.979588197544217,-2479860.954559164121747
